track_name,artist,cluster,popularity
Hyouriittai,YUZU,2,52
How Long Will I Love You,Canyon City,1,55
Binibini,Zack Tabudlo,1,67
You Were Supposed to Be Different,Aron Wright,1,45
Thinking out Loud,Boyce Avenue,3,56
Perfect / Style,Jonah Baker,1,37
Poison & Wine,The Civil Wars,1,54
Collide,Howie Day,3,66
You And I,Ingrid Michaelson,1,63
Give Me Your Forever (ft. Billkin),Zack Tabudlo;Billkin,3,58
Falling in Love at a Coffee Shop,Landon Pigg,1,55
Breathe (2 AM),Anna Nalick,2,65
Habang Buhay,Zack Tabudlo,2,69
Beautiful Soul,Jonah Baker,1,44
Bulletproof,Ben Woodward,3,39
Spectrum,Andrew Belle,2,54
Girls Like You - Acoustic Version,Jonah Baker,1,44
Nangangamba,Zack Tabudlo,2,70
Better Together,Us The Duo,3,64
Heartbreak Anniversary,Andrew Foy;Renee Foy,1,40
One More Time Around,Tyler Ward;Karis;Ray Lorraine,1,47
Say Something,A Great Big World,1,40
Heart Can’t Lose,Zack Tabudlo,3,55
I Ain't Ever Loved No One - Acoustic,Donovan Woods;Tenille Townes,1,57
Empty,Ray LaMontagne,1,48
"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",Megan Davies,1,54
The Reason,Tim Halperin,1,53
Fix You,Canyon City,1,60
Hand to Hold,JJ Heller,1,54
Hold You in My Arms,Ray LaMontagne,3,62
One Last Dance,Us The Duo,1,51
Heaven,Boyce Avenue;Megan Nicole,1,61
The Spark - Bonus Track,Joshua Hyslop,1,51
American Beauty,Drew Holcomb & The Neighbors,1,63
Such A Simple Thing,Ray LaMontagne,1,65
Colors,Amos Lee,1,64
Someone You Loved,Boyce Avenue,3,57
More Than Friends (feat. Meghan Trainor),Jason Mraz;Meghan Trainor,3,54
Flurry Rush,Days N Daze,3,37
I Choose You,Sara Bareilles,3,63
I Do Adore,Mindy Gledhill,3,53
Fuck You,Get Dead,3,36
If I Ain't Got You - Acoustic,John Adams,1,55
Believe - Acoustic,John Adams,1,57
Iris - Acoustic,Adam Christopher,1,54
Rain - Long Ver.,Motohiro Hata,3,44
C'est si bon,Aoi Teshima,1,51
Baby (Acoustic Version),Jonah Baker,1,42
Reason,YUZU,2,47
I Like Me Better,Boyce Avenue;Emma Heesters,1,54
Asan Ka Na Ba,Zack Tabudlo,3,73
A Thousand Years,Boyce Avenue,1,56
drivers license,Thomas Daniel,1,56
Love Someone,Jason Mraz,1,59
The Winner Takes It All - Acoustic,Jae Hall,1,57
Only Time,Aaron Espe,1,56
Almost Lover,A Fine Frenzy,1,57
Dance Monkey,Roses & Frey,1,51
Ocean,Parachute,2,48
Dream a Little Dream of Me,Kina Grannis,1,52
Back For Good,The Mayries,1,54
OK,Canyon City,1,55
Just The Two Of Us,Andrew Foy;Renee Foy,1,41
Hey There Delilah,Boyce Avenue,1,49
Arcade,Andrew Foy;Renee Foy,1,37
Yellow,Kina Grannis,1,52
Wake Me Up,Roses & Frey,1,58
Walking Blind,Aidan Hawken,1,48
Headphones,Jon Bryant,2,56
Teenage Dream,The Rescues,1,46
The Worth Of The Wait,Ivan & Alyosha,1,55
Can't Help Falling In Love - Piano Version,Kina Grannis,1,54
Never Come Back Again,Austin Plaine,2,57
Love You To Death,Chord Overstreet,1,49
Someone You Loved - Acoustic,Plamina,1,55
What a Wonderful World,Kina Grannis;Imaginary Future,1,51
You Broke Me First,Andrew Foy;Renee Foy,1,39
Long Way Down,Joshua Hyslop,1,60
She Is Love,Parachute,1,60
Marigold,Phillip LaRue,3,53
12:51,krissy & ericka,1,64
サンサーラ,Takehara Pistol,1,34
Sons and Daughters,Allman Brown;Liz Lawrence,1,50
Brand New,Ben Rector,2,65
Gotta Have You,The Weepies;Deb Talan;Steve Tannen,1,56
"30,000 Feet",Ben Rector,1,57
A Thousand Years,Eddy Tyler,1,43
Jolene,Ray LaMontagne,1,64
No Ceiling,Eddie Vedder,3,58
Front Porch,Joy Williams,1,64
Goodbye Lulu,Days N Daze,3,35
Three More Days,Ray LaMontagne,3,36
Isn't She Lovely - Acoustic,Callum J Wright,1,54
We Could Still Be Happy,Rachael Yamagata,1,43
Fix You - Acoustic,John Adams,1,49
I'm Yours - Acoustic,Lusaint,1,55
Closer,Boyce Avenue;Sarah Hyland,3,54
A Sky Full of Stars,Mother's Daughter;Beck Pete,1,55
I Don't Believe in Satan,Aron Wright,1,39
Pills,The Perishers,1,51
Shallow - Acoustic,Tyler Ward;Madysyn,1,52
Watermelon Sugar - Acoustic,Jonah Baker,1,56
Say You Won't Let Go - Acoustic,Matt Johnson;Jaclyn Davies,1,48
Hikare Inochi,Kitri,3,41
Call You Mine (Acoustic Piano),Ben Woodward,1,40
For Now,Kina Grannis,1,57
Sweet Dream,Greg Laswell,1,53
Love Nwantiti,Andrew Foy,1,30
Stars Are on Your Side,Ross Copperman,1,49
We Don't Talk Anymore / Cold (feat. Sara Phillips),Jonah Baker;Sara Phillips,1,26
Superman,Joe Brooks,2,53
Chasing Cars,Boyce Avenue,1,52
Calm Me Down,Zack Tabudlo,3,51
KISSして,Masaharu Fukuyama,3,35
Binibini (Last Day On Earth) (feat. James TW),Zack Tabudlo;James TW,1,54
Left for America,Ciaran Lavery,1,50
Ramparts,John Frusciante,1,53
Hold On - Acoustic,Chord Overstreet,1,48
Dust to Dust,The Civil Wars,1,49
Good night,Masaharu Fukuyama,2,35
As You Are,Zack Tabudlo,3,60
Binibini,Zack Tabudlo,1,65
It Aint Me,Sara Farell,1,52
Say Something,A Great Big World,1,57
The Lotto,Ingrid Michaelson;AJR,3,59
Tamacun,Rodrigo y Gabriela,3,50
Make It Without You,Andrew Belle,1,49
Dream,Priscilla Ahn,1,54
"Big Love, Small Moments",JJ Heller,1,52
I Am Not Alone,Priscilla Ahn,1,46
Stand Your Ground,Joshua Hyslop,3,62
Perfect Man,Front Porch Step,2,32
あ。っという間はあるさ,Takehara Pistol,3,33
Tell The World,Eric Hutchinson,3,58
Ain't No Reason,Brett Dennen,1,57
A Month from Now,Rail Yard Ghosts,0,34
What If,Five For Fighting,2,55
Pussy Cat,The Bridge City Sinners,3,33
Polaroid Picture,Frank Turner,2,33
Mirrors - Acoustic,Jonah Baker,1,52
To the Wonder (feat. Kina Grannis),Aqualung;Kina Grannis,1,21
Stay - Acoustic,Jonah Baker,1,50
太陽さん,Ichiko Aoba,1,55
Oh What A Love,Kina Grannis,1,46
Leave The Lights On,Meiko,3,56
I Won't Let You Down,Erin McCarley,1,40
Look For The Good (Single Version),Jason Mraz,3,21
Stargazing,Isabella Celander,1,55
Bad Liar,Roses & Frey,1,50
Is It You,Rachael Yamagata,3,41
Slow Down Time,Us The Duo,3,44
2002 - Acoustic,Amber Leigh Irish,1,57
Sweeter,Jess Penner,3,33
Heat Waves - Acoustic,Daniel Robinson,1,56
アジアの純真,Yosui Inoue;Tamio Okuda,3,32
If the World Was Ending - Acoustic,Jonah Baker;Celine,1,35
Comes And Goes (In Waves),Greg Laswell,2,55
ながれ星,Masaharu Fukuyama,1,33
Dusk Till Dawn - Acoustic,Blame Jones,1,46
Don't Wanna Leave You,Ben Woodward,3,38
Passenger Seat,Stephen Speaks,2,65
Love,Matt White,3,60
Hallelujah,Boyce Avenue,1,54
Ashes,Madi Diaz,1,37
明日の☆SHOW,Masaharu Fukuyama,3,34
Love Me Like You Do,Boyce Avenue,1,55
Lost Sparks,Canyon City,1,51
Who We Are,Tristan Prettyman,2,48
Heart (Original Version),Masaharu Fukuyama,3,34
It'll Be Alright,JJ Heller,1,51
Everybody,Ingrid Michaelson,3,54
Kabilugan Ng Buwan,Mark Oblea,1,32
Keep Breathing,Ingrid Michaelson,1,54
Fast Car,Boyce Avenue;Kina Grannis,1,61
Just the Way You Are,Boyce Avenue,1,55
The Ladder,Andrew Belle,3,55
HELLO (Original Version),Masaharu Fukuyama,3,34
接吻,Hanare Gumi,3,33
Can't Keep It Inside,Brett Dennen;Benedict Cumberbatch,1,45
明日天気になれ,Hanare Gumi,3,33
IT'S ONLY LOVE,Masaharu Fukuyama,2,34
それがすべてさ,Masaharu Fukuyama,2,34
I Don't Wanna Love Somebody Else,A Great Big World,1,49
Burn It All!,RENT STRIKE,1,33
Carried Me With You,Brandi Carlile,3,62
"O, Pennsyltucky!",Mischief Brew,2,33
"I Believed You, William Blake",Frank Turner,2,31
Pepperspray,Get Dead,3,32
Stickup,Get Dead,2,32
Heaven - Acoustic,Grace George,1,54
Soldier's Eyes,Jack Savoretti,1,50
Asleep Among Endives,Ichiko Aoba,1,58
Symphony - Acoustic,Thomas Daniel,1,49
When I Was Your Man,Boyce Avenue;Fifth Harmony,1,52
Save Your Tears - Acoustic,Amber Leigh Irish,1,49
Koi,Gen Hoshino,3,53
July Bones,Richard Walters,1,54
Autumn Breeze,Kaiak;Viktoria Tolstoy,1,50
Save Your Tears,Boyce Avenue,1,57
You're Still The One - Acoustic,Bailey Rushlow,1,53
Somebody Loved,Kina Grannis,1,57
Rise,Boyce Avenue,1,49
Bohemian Rhapsody - Acoustic,John Adams,1,52
As It Was - Acoustic,Amber Leigh Irish,1,51
Wish List,Canyon City,1,46
Beautiful Disaster,Chord Overstreet,1,41
Fake a smile,Wayne Mack,1,57
Marigold,Aimyon,2,50
River Flows In You,Sungha Jung,1,42
Kill Me Pretty,Tamio Okuda,2,47
No Matter Where You Are,Us The Duo,3,55
I Like You,Ben Rector,3,56
The Mess I Made,Parachute,2,49
Dream a Little Dream of Me,Zee Avi,1,50
"Here, Right Now",Joshua Radin,1,56
Wonderful Tonight,Boyce Avenue,1,52
Salvation,Gabrielle Aplin,1,50
Wilderness,Jon Bryant,1,53
恋人 (Original Version),Masaharu Fukuyama,3,33
I Just Called To Say I Love You,Bailey Pelkman;Randy Rektor,1,54
Fall on Me,A Great Big World;Christina Aguilera,1,50
Song To Sing When I'm Lonely,John Frusciante,3,54
A Drop In the Ocean,Ron Pope,1,55
Have Yourself a Merry Little Christmas,Tres Hermanas,1,32
Message (Original Version),Masaharu Fukuyama,3,33
Beautiful In White,Matt Johnson,1,50
Heaven Is a Place on Earth,The Mayries,1,56
Passenger Seat (Acoustic),Stephen Speaks,3,63
Guaranteed - Humming Version,Eddie Vedder,1,48
"Hang Me, Oh Hang Me",Dave Van Ronk,1,54
The Afterglow,John Frusciante;Josh Klinghoffer,2,31
Eat the Meek,Frank Turner,2,31
The Trouble with Wanting,Joy Williams,1,60
You Are the Best Thing,Ray LaMontagne,3,67
Boycott Me!,Mischief Brew,3,33
To Risk to Live,Days N Daze;Freddie Boatright,3,32
"The Legend of Olog-hai, Pt. 1",The Bridge City Sinners,2,31
This One's for Johnny,Get Dead,2,31
Graveyard - Acoustic,Highland Peak,1,45
bouquet,Ichiko Aoba,1,56
こころをこめて,Aoi Teshima,1,45
Paradise,AcousticTrench,1,42
Better,Parachute,1,46
Laid,Matt Nathanson,3,50
Same For You,Lee DeWyze,1,45
2U - Acoustic Version,Clementine Duo,1,56
Duet,Rachael Yamagata,1,43
I'll Say I Do,Brandon Chase,1,39
Anyone,Bailey Jehl,1,53
Start of Time,Gabrielle Aplin,2,45
Give Me Your Forever,Zack Tabudlo,3,32
Heat Waves,Bailey Jehl,1,53
There She Goes,Clementine Duo,1,54
Wells,Joshua Hyslop,1,51
God Only Knows,Kina Grannis;Imaginary Future,1,55
Afterglow,Andrew Foy;Renee Foy,1,33
Burn The Rain,Kurt Cobain,1,55
Already Mine,Us The Duo,1,46
きみはぼくのともだち,Hanare Gumi,1,30
Never Be the Same,Gabrielle Aplin,2,46
All Is Well,Austin Basham,1,60
My Mistake,Gabrielle Aplin,1,51
Near Or Far,Us The Duo,1,47
Without a Light,Drew Holcomb & The Neighbors,1,60
Lonely With Me,Parachute,3,51
Time After Time,Boyce Avenue;Megan Davies;Jaclyn Davies,1,60
So Are You To Me,Eastmountainsouth,1,52
My Arms Were Always Around You,Peter Bradley Adams,1,54
Dance Me to the End of Love - Bonus,The Civil Wars,1,52
Photographs,Eddie Vedder,1,51
Baby Now That I Found You,Suy Galvez,3,30
Right Here Waiting,Suy Galvez,3,30
Smokestack Lightnin',Howlin' Wolf,1,62
Passenger Seat,Stephen Speaks,3,64
Feels Like Rain (feat. Bonnie Raitt),Buddy Guy;Bonnie Raitt,1,57
Sugar Babe,Mance Lipscomb,1,31
Blister In The Sun,Violent Femmes,3,71
"Little Blue Pills, Pt. 2",Days N Daze,3,31
Paano Ang Simbang Gabi - Kung 'Di Ka Katabi,Drei Rana;Selena Marie,2,30
Bob,Frank Turner,2,30
Psycho,Harley Poe,2,30
Perfect Government,Frank Turner,2,30
The Fear,The Bridge City Sinners,3,30
Living My Best Life,Ben Rector,2,59
Haven't Been Doing So Well,Frank Turner,3,30
"The Legend of Olog-hai, Pt. 2",The Bridge City Sinners,2,30
You and Me On The Rock (feat. Lucius),Brandi Carlile;Lucius,3,63
Glitch,Get Dead,3,30
A Thousand Years - Acoustic,Jonah Baker,1,44
2 Oceans,Trevor Hall;Marieme,2,54
Golden Hour - Acoustic Piano,Ben Woodward,1,28
Without Me,Brandon Chase,1,47
You & Me (The Wildfire),Aron Wright,1,41
Dancing With A Stranger,Sara Farell,1,43
Pero,Zack Tabudlo,1,65
Good 4 U (Acoustic),Jonah Baker,1,53
And Then You,Greg Laswell,1,47
Here With Me - Acoustic,Daniel Robinson,1,55
I'll Be There For You (Friends Theme),Boyce Avenue,1,45
Habang Buhay,Zack Tabudlo,2,69
So Far so Good,Gabrielle Aplin,3,37
More Than Gravity,Colin & Caroline,1,34
Fade into You,Andrew Belle,2,53
東京にもあったんだ,Masaharu Fukuyama,2,31
あの夏も 海も 空も,Masaharu Fukuyama,2,31
21 Guns,Bailey Jehl,1,47
Waves,Canyon City,0,45
Running Up That Hill (A Deal With God) - Acoustic,Jonah Baker,1,51
Poison's Gone,Kurt Cobain,1,51
18 ~eighteen~,Masaharu Fukuyama,2,31
Build Me Up Buttercup,Kina Grannis,1,48
Umbrella - Acoustic Version,The Mayries,1,48
Home,Gabrielle Aplin,1,51
You're My Home,Joshua Radin,3,55
vs.2013 ~知覚と快楽の螺旋~,Masaharu Fukuyama,2,32
I Like Me Better,Ysabelle Cuevas,1,54
The Remedy (I Won't Worry),Jason Mraz,3,60
Something Stupid,Bailey Pelkman;Randy Rektor,1,47
Hanap-Hanap,Ethan Loukas;Janine Teñoso,1,29
The Will To Death,John Frusciante,1,51
Boulevard of Broken Dreams (Acoustic),Adam Christopher,1,41
Can't Help Falling In Love,Kina Grannis,1,48
Eloise,Penny and Sparrow,3,61
Help Me,Sonny Boy Williamson II,0,60
Everytime We Touch (Acoustic),Shannon & Keast,1,45
Let It Be Me,Ray LaMontagne,1,58
Beer,Mia Rollo,3,29
Someone Like You,Boyce Avenue,1,57
You've Got a Friend,Suy Galvez,1,29
This Little Light of Mine,JJ Heller,1,49
Amazing Grace,Takehara Pistol,2,30
Remnants of What People Used to Be,Days N Daze,3,30
Linda Ronstadt,AJJ,2,31
Unsteady - Acoustic Covers Versions of Popular Songs,SANNA NORTH,0,29
Heart's Content,Brandi Carlile,1,59
The Damned,The Bridge City Sinners,3,30
Hot Knives,Pigeon Pit,1,30
Nickel Plated,Get Dead,0,29
Peaches - Acoustic,Adam Christopher,1,55
You,A Great Big World,1,49
Swimmers,Andrew Belle,2,50
Live Like We're Dying,Kris Allen,3,55
Somebody That I Used To Know,Lúc,1,49
Lost Without You,Ben Woodward,3,32
"One more time, One more chance",Masayoshi Yamazaki,1,53
you broke me first,The Mayries,1,46
Skylight,Gabrielle Aplin,2,23
Game of Thrones,Edy Hafler,1,41
Nothing Like You and I,The Perishers,1,49
Wanted Man,Mat Kearney,3,59
Back To You,The Mayries,1,43
何度でも花が咲くように私を生きよう,Masaharu Fukuyama,1,31
Scared to Be Lonely,Boyce Avenue,1,46
Sappy - Early Demo,Kurt Cobain,1,50
Ancient Light,Allman Brown,1,41
I Don't Wanna Live Forever (Fifty Shades Darker) - Acoustic Version,Sara Farell;Simon Samaeng,1,48
Before You Go,Andrew Foy;Renee Foy,1,36
Ships In The Night,Mat Kearney,2,44
Only You,Joshua Radin,3,56
Waver,Sakura Fujiwara,3,29
Missing Peace,JJ Heller,1,52
聖域,Masaharu Fukuyama,2,31
Firework,Canyon City,1,47
Such A Simple Thing - Recorded at Sound Stage Studios Nashville,Ray LaMontagne,1,56
"Sad Theme (From ""One Punch Man"")",Eddie van der Meer,1,37
Don't Know What I Want,Gabrielle Aplin,1,24
Call Me,Gabrielle Aplin,2,23
True,Suy Galvez,3,28
I Can't Make You Love Me,Boyce Avenue;Rachel Grae,1,51
Say Anything,Tristan Prettyman,1,51
All We Are,Matt Nathanson,1,51
Gentle Heart,Joshua Hyslop,3,50
All My Loving (Original Version),Masaharu Fukuyama,3,31
アンダルシアに憧れて,Masayoshi Yamazaki,2,30
想 -new love new world-,Masaharu Fukuyama,3,31
Last Christmas,Drei Rana,3,29
Green Mountain State,Trevor Hall,3,61
Di Papakawalan,Maris Racal,1,28
Can't Go Back Now,The Weepies;Deb Talan;Steve Tannen,3,55
ウイスキーが、お好きでしょ,Hanare Gumi,1,29
Ditches,Days N Daze,3,30
Outside Villanova,Eric Hutchinson,3,29
Timeline,Apes of the State,1,30
I'll Never Fall in Love Again,Gail Blanco,1,29
Stray Cat Strut,The Bridge City Sinners,3,29
Goodbye Lulu Pt.2,Days N Daze,2,30
Days n Daze of Our Lives,Days N Daze,0,29
8 Track,Get Dead,2,28
Ghost - Acoustic,Jonah Baker,1,42
4am,Eden Elf;Ren Avel,1,49
"10,000 Hours - Acoustic",Adam Christopher;Dan Berk,3,53
Yellow - Acoustic,Amber Leigh Irish,1,50
No Air,Lúc,1,52
Self Help,Anna Hamilton,3,36
Blackbird Song,Lee DeWyze,1,49
Easy On Me - Acoustic,Jonah Baker,1,40
Chasing Cars - Acoustic,Bailey Rushlow,1,51
Can't Take My Eyes Off of You,Emilie Mover,2,41
Fortune - Acoustic,William Fitzsimmons,1,55
Lot To Learn,Vivid Color,3,52
Apologize,Bailey Jehl,1,51
First & Last,Zack Tabudlo,1,49
"Cold, Cold Feeling",Albert Collins,3,54
Sweet Love,Phillip LaRue,2,46
Shotgun,Us The Duo,3,45
HEY!,Masaharu Fukuyama,3,30
Have It All,Jason Mraz,3,53
Trouble Sleeping,The Perishers,2,48
Beautiful Disaster,Jon McLaughlin,2,52
Breathe Again,Sara Bareilles,2,51
Trouble,Ray LaMontagne,2,59
Memories,Boyce Avenue,1,53
Sink Or Swim,Tyrone Wells,2,47
Tama Na,EJ De Perio,2,28
"He's A Pirate (From ""Pirates of the Caribbean"")",Beyond The Guitar,1,30
能古島の片想い - Remastered 2018,Yosui Inoue,1,29
Bitter Heart,Zee Avi,1,48
I Want to Know What Love Is - Acoustic,Hannah's Yard,1,52
ハンキーパンキー,Hanare Gumi,1,28
Ordinary Days,JJ Heller,1,51
Moon River,JJ Heller,1,53
Forever Like That,Ben Rector,1,52
Neighbor,JJ Heller,1,42
一等賞,Takehara Pistol,3,29
音タイム,Hanare Gumi,2,29
The Joke,Brandi Carlile,2,60
Toulumne,Eddie Vedder,1,51
Just The Two Of Us - Acoustic,Vendredi;Son&Dad,1,28
Arrythmic Palpitations,Chris Cresswell,3,27
The Boat,Chuck Ragan,2,28
Born Under A Bad Sign - Mono Mix,Albert King,3,58
Nobody Knows Me At All,The Weepies;Deb Talan;Steve Tannen,1,54
Bitter Morning Taste,Tim Vantol,2,28
DBS Out,Days N Daze,3,29
Crazy - (Acoustic Mix),Vendredi;Son&Dad,1,28
Dungeon Song,The Bridge City Sinners,3,28
Can I Sleep On Your Floor??,Chad Hates George,3,28
Josephine,Frank Turner,2,28
いきのこり●ぼくら,Ichiko Aoba,1,52
Careless Whisper,Boyce Avenue,3,46
Look After You,Aron Wright,1,47
Perfect,Acoustic Guitar Collective,1,39
When the Party's Over,Kina Grannis,1,50
Longest Night,Howie Day,2,43
Photograph,Andrew Foy;Renee Foy,1,30
Shame,Ciaran Lavery,1,53
Iris,Bailey Jehl,1,51
Running Wild,Jules Larson,2,31
彼方で,Masaharu Fukuyama,3,29
Hazy (Featuring William Fitzsimmons),Rosi Golan,1,43
Let It Go,Colin & Caroline,1,55
I Wanna Be Your Ghost (feat. Ghosts),Gen Hoshino,3,50
約束の丘,Masaharu Fukuyama,3,30
Young And In Love,Ingrid Michaelson,2,46
No Plans,Jason Mraz,1,46
Easy on Me,Boyce Avenue,2,52
Tonight You Belong To Me,Eddie Vedder;Cat Power,1,44
Closer,Ysabelle Cuevas,1,51
One Last Breath,Boyce Avenue,1,53
